Series Code,Topic,Indicator Name,Short definition,Long definition,Unit of measure,Periodicity,Base Period,Other notes,Aggregation method,Limitations and exceptions,Notes from original source,General comments,Source,Statistical concept and methodology,Development relevance,Related source links,Other web links,Related indicators,License Type
"BI.EMP.FRML.PB.ZS",,"Public sector employment, as a share of formal employment",,"Percentage of all formal employment in the economy that falls within the public sector, including administration, education, health, security, and public enterprises.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.SS.PB.ZS",,"Social Security workers, as a share of public formal employees",,"Measures the proportion of public sector employees working in social security administration, including pension agencies and public welfare programs.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.FRML.TS.PB.ZS",,"Teachers, as a share of public formal employees",,"Measures the proportion of public sector employees who work as teachers in public education institutions.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.CK.ZS",,"Public sector female employment, as a share of paid employment by occupational group: Clerks",,"Represents the percentage of clerical jobs in the public sector that are held by women.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.ED.ZS",,"Public sector female employment, as a share of paid employment by industry: Education",,"Measures the proportion of women employed in the public education sector relative to all paid employment.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.EO.ZS",,"Public sector female employment, as a share of paid employment by occupational group: Elementary workers",,"Measures the proportion of elementary workers (e.g., janitors, support staff) in the public sector who are women.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.HE.ZS",,"Public sector female employment, as a share of paid employment by industry: Health",,"Measures the percentage of female workers in public healthcare relative to total paid employment.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.MW.ZS",,"Public sector female employment, as a share of paid employment by occupation: Medical workers",,"Measures the share of female medical workers employed in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.PN.ZS",,"Public sector female employment, as a share of paid employment by occupational group: Professionals",,"Measures the proportion of women in professional roles within the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.SN.ZS",,"Public sector female employment, as a share of paid employment by occupational group: Manager",,"Measures the percentage of women in management positions in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.TN.ZS",,"Public sector female employment, as a share of paid employment by occupational group: Technicians",,"Measures the proportion of women working as technicians in public sector jobs.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PUBS.FE.TS.ZS",,"Public sector female employment, as a share of paid employment by occupation: Teachers",,"Measures the proportion of female teachers working in the public sector","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.CA.PB.ZS",,"Core Public Administration workers, as a share of public paid employees",,"Share of public salaried employees who work in core public administration.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.ED.PB.ZS",,"Education workers, as a share of public paid employees",,"Measures the proportion of publicly paid employees who work in education.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.HE.PB.ZS",,"Health workers, as a share of public paid employees",,"Measures the proportion of publicly paid employees who work in health services.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.MW.PB.ZS",,"Medical workers, as a share of public paid employees",,"Subset of health workers that includes only publicly paid medical professionals such as doctors and nurses.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.CK.ZS",,"Public sector employment, as a share of paid employment, by occupational group: Clerks",,"Measures the proportion of clerks who are employed in the public sector relative to total paid employment.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.ED.ZS",,"Public sector employment, as a share of paid employment, by industry: Education",,"Measures the share of paid employees who work in public education.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.EO.ZS",,"Public sector employment, as a share of paid employment, by occupational group: Elementary workers",,"Measures the proportion of elementary workers in the public sector relative to total paid employment.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.FE.ZS",,"Public sector employment, as a share of paid employment by gender: Female",,"Measures the proportion of all paid employment held by women in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.HE.ZS",,"Public sector employment, as a share of paid employment, by industry: Health",,"Measures the percentage of healthcare workers employed in the public sector relative to all paid employees.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.MA.ZS",,"Public sector employment, as a share of paid employment by gender: male",,"Measures the proportion of paid employment held by men in the public sector.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.MW.ZS",,"Public sector employment, as a share of paid employment, by occupation: Medical workers",,"Measures the proportion of medical professionals in the public sector relative to all paid employees.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
"BI.EMP.PWRK.PB.PA.ZS",,"Public Administration workers, as a share of public paid employees",,"Measures the percentage of publicly paid employees who work in public administration.","%",,,,"Weighted average",,,,"World Bank staff calculations based on the methodology described in World Bank (2023). https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac","The Wordwide Bureaucracy Indicators are a unique cross-national dataset on public sector employment and wages that aims to fill an information gap, thereby helping researchers, development practitioners, and policymakers gain a better understanding of the personnel dimensions of state capability, the footprint of the public sector within the overall labor market, and the fiscal implications of the public sector wage bill. For more information on methodology and definitions, visit: https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099062623201028153/p1687031c943fa1313f6814bcf1aeb51371a5665a9ac",,,,,"CC BY-4.0"
